業界,概要文
美容サロン業界の会社,「La fith hair room難波店」「La fith hair vail梅田店」などの美容室を運営する。カットやカラーに加え髪に優しい縮毛矯正とヘッドスパなど、幅広いメニューを取り揃えている。またカウセリングから仕上げまで、マンツーマン対応のサービスもしていることが特徴。
食品店業界の会社,「ぜいたくトマト」等の野菜や下関産ミカン等の果物など山口県産商品を強みとして、スーパーマーケット「新鮮市場」の運営を行う。また、オススメ商品や季節の商品も用意して販売する。その他、発送サービスやメンバーズカードの発行なども手掛ける。
タクシー業界の会社,一般乗用旅客自動車運送事業や自家用自動車運行管理業務を行っている神奈川都市交通株式会社の関連会社である。川崎を中心にタクシー事業を手掛けている。また、ユニバーサルデザインタクシーを保有しているのが特徴。
高齢者向け福祉業界の会社,通所介護および介護予防通所介護を行う「デイサービスほがらか」を運営している。グループホーム「微笑の家」「微笑の家なかむら」も運営。また、居宅介護支援や介護予防支援を行う「居宅ほほえみ」に加えて、小規模多機能型居宅介護の「憩いのいえ」も手掛ける。
自動車部品・カー用品製造業界の会社,超厚肉レンズなどプラスチック光学品の製造を手掛ける。また、自動車用ヘッドライト向けレンズやライトガイド、リフレクタなどの光学部品を生産。その他、非球面・自由曲面レンズや導光板、導光棒を取り扱う。さらに、配光検査に対応。
自動車部品・カー用品製造業界の会社,自動車用ブレーキディスクやブレーキドラムの製造および卸売を手掛けている。また、ナックルなどのブレーキ周辺部品や、スクロールコンプレッサなどの空調部品も取り扱う。
塾・受験予備校業界の会社,主に東進衛星予備校の運営を手掛け、大学入試に対応した学習塾を展開する。また、東進中学NETおよび四谷大塚NETの運営も請け負う。
ホテル・旅館業界の会社,温泉旅館「ビアスパークしもつま」の運営を行う。また、併設施設のビール工房「しもつまブルワリー」で製造されたビールの提供も手掛ける。その他、バーベキュー会場や宴会場、会議室などの施設も備えている。
保険代理店業界の会社,「旭化成」が100%株式を保有しており、「東京海上日動」や「損保ジャパン日本興亜」など損害保険会社4社の保険をメインとした取扱代理業務をする会社。特に、「旭化成グループ」の現役社員やOBに対する団体扱い自動車保険は大幅割引している。保険事業のほか、「旭化成」の総務部の委託業務を展開している。
高齢者向け福祉業界の会社,首都圏を中心に高齢者向け介護施設を運営している。在宅介護サービス「ケアサポート」では、デイサービスや介護施設への短期間入所、ケアプランの作成などのサービスを提供する。また、サービス付き高齢者向け住宅・介護付き有料老人ホームである「イルミーナ」の運営も手掛ける。
ゴルフ場業界の会社,埼玉県入間郡のゴルフ場「日本カントリークラブ」の運営を行っている。ゴルフ場にはレストランが併設されており、コンペパーティー用のメニュープランも提供している。
人材紹介業界の会社,埼玉県熊谷市から深谷市を中心に製造業や物流業、食品業界に人材紹介および人材派遣を手掛ける。自社Web上で求人情報の閲覧および応募が可能。また入職前教育やメンタルヘルスケア、リーダー講習などの人材教育も行っている。
保険代理店業界の会社,電話・訪問による保険相談窓口を設け、生命保険・損害保険の代理店業を行っている会社である。保険内容も多岐に渡り、自転車保険やペット保険など、幅広く対応している。ＨＰ上では、簡単なチェック項目や持病に関する質問に答えるだけでオススメ保険を探してくれる「持病があっても安心ナビ」というサービスもある。
警備業界の会社,福岡県福岡市に拠点を置き、交通誘導警備や駐車場警備を手掛ける。また、オフィスビルや大型商業施設および医療施設などの施設警備も行う。その他、イベント警備やパトロール警備にも対応。
マンション・アパート賃貸業界の会社,「ネクストライフてるまさ」 および「ネクストライフてるまさ 中部支店」 などにおいて、主にマンションやなどの賃貸仲介を手掛ける。また、土地や戸建住宅およびマンションなどの売買仲介にも対応。加えて、店舗や事務所などの事業用物件も取り扱う。そのほか、損害保険などの販売も行う。
高齢者向け福祉業界の会社,居宅介護支援事業として、介護相談や居宅サービス計画の作成および要介護認定申請の代行を手掛ける。また、生活援助や身体介護などの訪問介護サービスや、介護予防訪問介護も請け負う。その他、介護保険外サービスとして家事代行サービスや身体介護サービスにも携わる。
タクシー業界の会社,株式会社飛鳥交通を中核とする飛鳥交通グループのグループ会社であり、タクシーの運行を手掛ける。また、インターネット配車や定額料金制空港送迎サービス、妊婦向け陣痛タクシーサービスなどを行う。
自動車部品・カー用品製造業界の会社,静岡県藤枝市に拠点をおき、村上開明堂の関係会社としてバックミラーなど自動車部品の製造および組み立て並びに卸売を手掛ける。
金属部品製造業界の会社,鉄道車両用の自動ドアやブレーキの部品、船舶用のリモコン装置などの製造を行う。その他、配電盤ボックスや油圧装置、空圧装置などの製造も手がける。
居酒屋・バー業界の会社,酒類･調味料･食材･冷凍食品卸業を行う株式会社徳田商店の系列会社として、居酒屋やバーなどの飲食店の運営と管理を行っている。直営店は12店舗、フランチャイズ店は2店舗。
金属部品製造業界の会社,旋盤加工などによる、大型クレーン用関連設備およびローラーコンベア関連部品などの製造を手掛けている。また、陸海産業用機械一式や舵回り装置の製造、ならびに製缶なども請け負う。
マンション・アパート賃貸業界の会社,全国に広がる強力な不動産ネットワークを基盤として、コア事業である斡旋事業やオーナーに代わり賃貸運営を行うプロパティマネジメント事業やその他の不動産に関連した事業を展開。斡旋事業においては、日本最大級の物件情報量とブランド力を武器として、首都圏を中心として直営店やフランチャイズ加盟店により、賃貸斡旋店「アパマンショップ」を展開している。また、鍵や水廻りのトラブルの24時間対応や、保証人代行、家財保険など賃貸サポートのサービスを取り扱っている。
タクシー業界の会社,タクシーやバスの運行を行っている飛鳥交通株式会社の板橋営業所を運営している会社である。東京23区及び武蔵野市、三鷹市を営業エリアとしたタクシー事業を展開。タクシー乗務員に対して、営業や地理、無線に関した研修を実施している。
食品店業界の会社,百貨店でローストビーフのサラダやシーフードサラダなどのサラダ類の販売を手がけている。
タクシー業界の会社,大阪市を中心に、タクシー業を手がける。
水産物食品専門商社業界の会社,生鮮水産物や冷凍水産物をはじめ、塩干加工品やその他食料品の卸売などを行う。また、天然魚や養殖魚に加え、エビなどの甲殻類や貝類などを取り扱う。さらに、食品加工を行う他、冷蔵倉庫業や製氷および凍結事業も手掛ける。
水産物食品専門商社業界の会社,和食向け食材を四季に合わせて加工し、専門料理店等に卸売を行っている。商品は海産物を原料とした珍味や魚類の一夜干し、様々な野菜と合わせた豆腐や麩、湯葉類、コンニャク、根菜類を使った漬物などがある
自動車部品・カー用品製造業界の会社,車両事業や住宅・住設事業およびファッション生活資材事業において、表皮材の製造・販売を手掛ける。車両事業では、座席やコンソールなどに使われるウレタン製品やポリ塩化ビニル製品、オレフィン製品および内外装加飾フィルムを連結子会社の共和ライフテクノ株式会社と協働で製造し、関連会社のトヨタ自動車株式会社に卸売を行う。住宅・住設事業では、壁紙やキッチンおよびユニットバスなどの内装用製品のほか、玄関ドアや屋上防水などの外装用製品に使用される表皮材の製造・販売に取り組む。また、ファッション・生活資材事業においてカバンやブーツなどのファッション用製品、事務椅子および応接セットなどの生活資材用製品に使用される表皮材の製造・販売も行う。その他、製品の抗カビ・抗菌性や消臭性などの研究開発も手掛ける。
居住用リフォーム業界の会社,木材加工製品の製造・卸売を行っている。モールディング加工等の専用機を設備し、二次加工まで行う。内装ドアなど建具関係やシステム収納関係の扉、開き戸枠など造作材関係を取扱う。その他、「SUNGHWA社」の代理店として、エッジバンダーや転写機、各種特注機械の卸売を手掛けている。
居酒屋・バー業界の会社,「いかの墨」「えびす鯛」「たこの壺」「よね蔵」などの居酒屋の運営を行っている。
ゴルフ場業界の会社,神奈川県鎌倉市において「鎌倉カントリークラブゴルフ場」の運営を行い、コース巡回時間管理や場内の清掃を行う。また、ゴルフ場「鎌倉パブリックゴルフ場」の運営も手掛ける。
塾・受験予備校業界の会社,進学塾「若松塾」や予備校「東進衛星予備校」および個別指導教室や託児教室を運営する。発問応答式での授業やオリジナル教材などを使用した指導を行っている。その他、グローバル人材育成事業の実施や、図書出版及び販売も行う。
警備業界の会社,一般的な交通誘導警備や各種イベントの警備、ならびに施設常駐の警備などを行っている。「ガードシグナルシステム」と呼ばれる、無線制御式信号機を使った交通誘導システムを使うのが特徴。他にも、鉄道線路内外の工事作業現場での列車見張り業務も手掛けている。
自動車部品・カー用品製造業界の会社,鋳造関連製品や金型、治具および周辺機器などの製造を行っている会社である。主に、パワーステアリング部品・AT部品やオートテンショナー部品などの自動車用部品を手掛ける。また、ガス機器に使用する給湯器部品やハンドル部品・ペダル部品および変速機部品など自転車用部品なども請け負っている。他には、電子機器部品にも対応する。
タクシー業界の会社,ハイヤーやタクシー、ジャンボタクシー及びリフトタクシー、マイクロバスなどを約160両保有し、名古屋市内を中心にタクシーの運行を行っている。介護タクシーの運行のほか遠距離割引や障害者・高齢者割引、幼児・児童割引などに対応。
ホテル・旅館業界の会社,MiKグループの一つとして宿泊施設や温泉の運営を行っている。「いわて花巻南温泉郷 渡り温泉」では温泉とホテルを運営し、ホテル「ブランニューキタカミ」では全室個室の予約制レストランやカフェ、結婚式や披露宴といったウェディングイベントの運営も手掛けている。
タクシー業界の会社,別府や湯布院等をめぐる観光タクシーの運行を行うほか、空港に直行するタクシーの運行にも携わる。また、中型やジャンボタクシーの運行も行っている。その他、みなと整備工場にて自動車やバイクの修理や点検なども行う。
警備業界の会社,交通誘導や常駐警備及びイベント警備などの警備事業の他に、ローカル警備システムの設計や施工も行っている。また、防犯スプレーや防犯ベルなどの防犯用品や各種防犯カメラの卸売も手がける。
マンション・アパート賃貸業界の会社,マンションやアパート、および事務所などの不動産物件の賃貸や売買事業をはじめ、土地活用コンサルティング業務などを行う。また、企画開発やアフターサービス、引越し業者の紹介など、各種不動産関連業務を展開している。
自動車部品・カー用品製造業界の会社,カチオン塗装や静電塗装および樹脂塗装による自動車部品の塗装を手掛ける。プレス加工や溶接品および鋳物にはカチオン電着塗装を行う。また、重要保安部品の配管加工品や耐熱塗装品には静電塗装を実施する。その他、内装品や外装品には樹脂塗装が用いられる。
美容サロン業界の会社,「4D GARO」など7店舗の美容室を運営している。自社と株式会社きくや美粧堂とホーユー株式会社の3社が共同開発した、カットとカラーを30日間保つ4Dの美容技術が特徴である。その他にも、「いろいろ応援プロジェクト」という割引サービスも実施している。
金属部品製造業界の会社,パッケージエアコンやルームエアコン、冷蔵庫などに用いられる金属部品の製造を手掛けている。また、金型や試作品の製作も行う。
高齢者向け福祉業界の会社,特殊寝台をはじめ、車いすや歩行器などの福祉用具や、要介護認定者向けの入浴用、排泄用の特殊用具のレンタルおよび販売を行う。また、介護タクシーの運営も行う。その他、バリアフリー化や生活介助のための住宅改修も手掛ける。
水産物食品専門商社業界の会社,ししゃもの買い付けから干物やフライへの加工および販売を行っている。また、保存料や着色料ならびに酸化防止剤などは使用せずに天然調味料で加工を行う。ししゃも以外に「たこぶつからあげ」や「さけ切身フライ」なども製造や販売。
金属部品製造業界の会社,ボルトやナット、座金等の鋲螺製品の製造・販売を行う。また、顧客の要望に合わせた金属パーツ品の開発や設計、VA提案なども実施している。主に、「ドーブチロック」「ハグボルト」などの製品を取り扱う。
ホテル・旅館業界の会社,「常石グループ」の中のライフ&リゾート事業を担当している。運営するホテルは、リゾートホテル「ベラビスタ スパ＆マリーナ尾道」や「常石ハーバーホテル」がある。他には、総合レジャー施設「みろくの里」の運営も手がけている。施設内には宿泊や研修、スポーツ施設完備の「ツネイシしまなみビレッジ」や、天然ラドン温泉「神勝寺温泉昭和の湯」がある。
ホテル・旅館業界の会社,時間帯・利用時間別に客室を提供する、多目的型ビジネスホテル運営を行う会社。ホテルにはバリアフリーの客室を多く設けており、障害者や高齢者でも利用しやすいことが強み。関東圏を中心に、中部地方や中国地方にも店舗展開している。
ホテル・旅館業界の会社,IHGとANAの業務提携による合同会社として、「ANAクラウンプラザホテル」「ANAインターコンチネンタルホテル」「ホリデイ・イン」といったホテルの運営を手掛ける。
人材紹介業界の会社,製造業へのエンジニアリングソリューションサービスを行うメイテックグループに属し、エンジニア特化型の職業紹介事業を手掛ける。メイテックグループが保有する技術情報や求人情報などを利用した精微なマッチングシステムを独自に構築している点を特徴とする。
居住用リフォーム業界の会社,葺き替えや雨樋工事などの屋根工事およびタイル・ブロック工事などを行っている。また、建築工事や大工工事、土木工事などにも対応。
警備業界の会社,熊本市にて、​施設警備や​交通誘導警備および雑踏警備を手掛ける。また、ウォーターサーバーの無料レンタルを行い、ミネラルウォーターの販売を手掛ける。さらに、「おそうじ本舗」としてハウスクリーニング業務にも対応。
人材紹介業界の会社,介護に関する仕事や機械加工や溶接などの製造業および、ホテルやレストランスタッフなどのサービス業などに関する人材派遣や紹介を手掛ける。ブラジルやベトナムなどの外国人スタッフの紹介も請け負うのも特徴。
ホテル・旅館業界の会社,「城山観光ホテル」をの運営を手掛ける。ホテル内では、温泉やエステ、レストランなどが展開されれているほか、会議や宴会、法要向けの会場およびサービスも提供する。また、「城山ウェディング」を展開し、結婚式場事業も手掛ける。
Webサービス・アプリ運営業界の会社,画像等のデジタル素材を販売するWebサイト「PIXTA」の運営を手がけ、クリエイターと購入者をつなぐサービスを展開する。さらに、出張撮影マッチングサービス「fotowa」も運営し、撮影希望者とフォトグラファーのマッチングを行う。その他、全国に法人向け出張撮影カメラマンを手配する「PIXTAオンデマンド」も展開する。
高齢者向け福祉業界の会社,通所介護および介護予防のための施設「山手なの花館」「山手せせらぎ館」の運営を行う。なお、施設では花見等季節のイベントなどを定期的に開催することが特徴。また、居宅介護支援施設「山手介護支援館」にてケアプラン作成を手掛ける。加えて、「介護ショップ山手」にて介護用品のレンタルや販売を展開する。
ゴルフ場業界の会社,ゴルフ場「高坂カントリークラブ」の運営を行う。練習場と18Hのコース2つを有するゴルフ場で、レストランやパーティールーム、浴場なども併設されている。さらに、ティーチングプロによるレッスンや最寄駅からのクラブバス運行も実施している。
中古車販売業界の会社,中古車の販売・買取を行っている会社。オートローンの審査の厳しさによりローン会社の審査が通らず車が買えない顧客のために、独自審査の自社ローンを設けている。また、Webサイトで販売している中古車を閲覧することができる。
金属部品製造業界の会社,鉄鋼やステンレス鋼の線材製品や直線寸法切およびネジやボルトの製造ならびに販売を行っている。自動直線機や自動丸鋸切断機および研磨機などの設備を保有する。
金属部品製造業界の会社,ベアリング製造大手の中西金属が津市に所有する製造拠点三重工場の会社。玉軸受、ころ軸受などの軸受保持器と各種ゴム加工品の製造を行う。ゴムシール製造の国内唯一の拠点でもある。
高齢者向け福祉業界の会社,通所介護施設や小規模多機能型居宅介護施設及びリハビリデイサービスの「和が家」を運営を行う。また、有料老人ホーム「おはな」や介護職員初任者研修課程の養成校「学び処 和が家」などの運営にも携わる。その他、訪問介護事業所や居宅介護支援事業所など介護サービスを請け負う。
自動車部品・カー用品製造業界の会社,ダンパーやメンバーマウントなどの自動車用防振製品の製造ならびに販売を手掛けている。また、新幹線や建設機械などの防振装置の製造および販売も行う。その他に、住宅用の免震ゴムの製造も請け負う。
居住用リフォーム業界の会社,公共施設や商業施設、住宅に対してインテリア仕上げ工事やクロス仕上工事および化粧塩ビシート貼り工事などの仕上げ工事を行う。また、ガラスフィルムの工事やオーダーカーテンの取り扱いも手掛ける。その他、ブラインド・ロールスクリーン等取り付け工事およびカーペット施工に対応。
高齢者向け福祉業界の会社,サービス付き高齢者住宅施設である「介護付き有料老人ホームさふらん大府」の運営を行う。特に、特定施設入居者生活介護の認定を受けサービスを提供。また、地域密着型通所介護サービス事業所として、民家を利用した施設「デイサービスさふらん」の運営も手掛けている。
塾・受験予備校業界の会社,通信教育事業を展開する株式会社Z会の関連会社として、小中高生向けに教室事業を行っている。主に、首都圏や東日本に加え、関西圏および静岡県においてZ会教室を運営する。また、教室での集団授業のほか、個別指導ならびに映像授業にも対応。
医療機器・実験機器メーカー業界の会社,医療注射針用精密ステンレスチューブメーカーとして、注入針・ガイド針といった各種医療用注射針や医療器具の製造・販売を手掛けている。また、温度センサー用保護管・電熱器の温度センサーなどの工業用や、EGIシステム中部品・バイメタル調整部品といった自動車用などの部品を取り扱う。
人材紹介業界の会社,広島や東広島、および呉を中心に、労働者の派遣や有力職業の紹介を手掛ける。また、マニュアルやDTPの作成、および電子データ化や翻訳なども請け負う。
タクシー業界の会社,埼玉県三郷市を拠点として、タクシー運送を行っている。
美容サロン業界の会社,関西で12店舗のヘアサロンを運営している。ヘアカット及びヘアスタイルのほか、成人式の着付け等にも対応。また、神戸コレクション並びに東京コレクションなどといったイベントにヘアメイクとして参加する。実績には、エルメスのヘアメイク等が挙げられる。
自動車部品・カー用品製造業界の会社,軸受やドライブシャフトなどの製造および卸売を行っている。また、エンジンやモーターの動力をタイヤに伝達する等速ジョイント完成品および部品の製造にも対応。そのほか、ドライブシャフトやプロペラシャフトといった製品も取り扱う。
ホテル・旅館業界の会社,宿泊施設を運営し、沖縄料理や和食、洋食のビュッフェレストランおよびパーティーや宴会なども手掛ける。そのほか、ギャラリーショップやボディケアサロンも運営している。また、観光スポットやゴルフ場、さらにビジネス利用者のためのセミナー会場などの紹介を行う。
高齢者向け福祉業界の会社,デーサービス「あおぞらデイサービスセンター」を運営している。高齢者介護事業として、送迎から入浴介助、機能訓練やレクリエーションに健康チェックなどを手掛ける。また、トレーニングマシーンを利用した高齢者向けの筋力トレーニングや機能訓練などのサポートも提供。無料体験などのサポートにも対応している。
金属部品製造業界の会社,コンピュータ周辺機器や医療用機械、および半導体製造装置などの筐体フレームを製造する。併せて、外装品や内装品の精密板金品の製造も行う。部品製造から表面処理、および組み立てまでを一貫生産できることが特徴。また、大型製缶作業の変種変量生産にも対応している。
居住用リフォーム業界の会社,建物改修工事や耐震工事のほか、太陽光、風力発電所等の設計・建設・管理を行っている会社。また、建設用エポキシ樹脂製品の製造、販売やトンネル等の剥落防止に使用する簡易応急注入キット「eQボンダー」の開発、販売事業も展開している。
保険代理店業界の会社,ライフプランに合わせた生命保険や損害保険の提案を手掛ける。また、住宅ローンなどの住宅関連の相談や相続に関する相談にも対応する。その他、弁護士や司法書士、税理士などと提携し、FPコンサルティングも行う。
タクシー業界の会社,介護タクシーやジャンボタクシー、寝台車などの運行を手掛ける。また、車両貸切サービスの提供にも対応する。「介護ステーションコスモス」の運営にも取り組み、訪問介護を行っている。
居酒屋・バー業界の会社,大阪府内の繁華街に居酒屋を出店するベンチャー企業である。手頃な料金で楽しむことができる日本酒専門店を次々とオープンしており、2017年の時点では、「日本酒と手作り料理の店 和酒吟蔵」をはじめとした6店舗を展開する。
警備業界の会社,東京を中心とした関東地区の商業施設、オフィスビルなど様々な施設に警備員を配備している。また、展覧会や屋外イベント等が開催される場所の人員整理や誘導、案内などを行っているほか、工事現場周辺で車両の誘導を行う。
高齢者向け福祉業界の会社,訪問介護やデイサービス、サービス付き高齢者向け住宅の運営を行う会社。高齢者向け住宅「花楽園住吉」をデイサービス施設「アジアンリゾートスパ 花楽園住吉」に併設する形で運営している。デイサービスでは、入浴に特化しており、高い介護度の高齢者にも対応するのが特徴。
ホテル・旅館業界の会社,宿泊のみならずホテルウェディングも開催するホテル「熊本ホテルキャッスル」のほか、「肥後めしや 夢あかり」「銀座 桃花源」などの中華料理店も運営する。さらに、鶴屋百貨店にて「熊本ホテルキャッスル」内各レストランの惣菜を販売する「キャッスルワールド」を構える。
医療機器・実験機器メーカー業界の会社,メディカル分野を対象とした人材派遣およびメディカル関連商品などの受託製造を請け負う。主な事業はアウトソーシングとなっており、受託した医療機器メーカーの製造部門工場に人材派遣を行う。
保険代理店業界の会社,「ココリア多摩センター店」など、アフラック生命保険株式会社の生命保険募集代理店を運営する。医療保険に加え、がん保険や学資保険および終身保険などを取り扱う。
高齢者向け福祉業界の会社,日本各地において民家を改装した地域密着型の通所介護施設のフランチャイズ運営を行っている。安定して運営させるために全加盟事業所に対して毎月研修を行い、経営指導や人材育成指導を行っている。
塾・受験予備校業界の会社,群馬県前橋市を拠点に、小学生から高校生までを対象にした集団授業型の学習塾「心水塾」の運営を行う。定期テストから受験までを対策とした学習プログラムが特徴。また、「河合塾マナビス」の運営にも取り組む。
自動車部品・カー用品製造業界の会社,愛知県西尾市に拠点を置き、主に自動車部品の製作および加工を行う。また、機械設備の組付や、鋳物製品の製作を手掛ける。その他、労働者派遣にも対応する。
自動車部品・カー用品製造業界の会社,主にトヨタ自動車のインテリアイルミネーションやステップライト等を取り扱う。またダイハツ工業のキー照明やエントリーイルミネーションを手掛ける。その他スズキ等の国内メーカの製品や、BMW等の国外メーカー製品にも対応。
高齢者向け福祉業界の会社,通所介護施設「デイサービスほうじょう」や、ケアの専門家が24時間常駐するサービス付き高齢者向け住宅「ライフネット彩果」の運営を行っている。また、訪問介護や訪問看護、居宅介護支援なども手掛ける。
ホテル・旅館業界の会社,「ホテルオークラ福岡」の運営を行っている。また、ブッフェスタイルのダイニングから和食並びに中国料理、フレンチ他までのレストランやヘルスクラブ等の設備を有する。その他、ウェディングや宴会及び会議等の料理やサービスの提供、レストラン券等の自社Web販売も展開。
美容サロン業界の会社,「サロンドユー大森ベルポート」「サロンドユーゼル大森 西口店」などの美容院を運営を行う。カットやパーマ、カラーのほかヘッドスパなどのメニューも用意している。卒業式や成人式および七五三などのイベントの着付けやメイクにも対応する。
中古車販売業界の会社,「三正運輸株式会社」の関連会社として、国産車や輸入車など中古車の輸出や販売を手掛ける。また、一般貨物トラックによる農業用資材などの配送も行う。
中古車販売業界の会社,主に使用済の自動車の買取を行う。また引き取った使用済み自動車を処分し、その過程で使用可能なリサイクルパーツを取り出し、それを国内外に向け販売する。
Webサービス・アプリ運営業界の会社,結婚式場情報の口コミサイト「みんなのウェディング」をはじめとするWebメディアを運営する。また、ウェディングの専門スタッフによる、同メディアを通じた式場選びのWeb相談受付サービスを提供している。
高齢者向け福祉業界の会社,デイサービスと訪問介護ステーションを運営しており、リハビリを専門に提供する。デイサービスには理学療法士、訪問介護ステーションには看護師が所属しており、連携してケアを行う。その他、作業療法士や言語聴覚士など様々な専門職との連携による包括的なケアに取り組む。
高齢者向け福祉業界の会社,介護保険や住宅型有料老人ホーム、サービス付き高齢者向け住宅の運営などの事業を手掛けている。地域密着型サービス介護施設の「しあわせ館」や、住宅型有料老人ホームの「ほほえみ館」を運営。また、サービス付き高齢者向け住宅事業として「オカリナ館」の運営も行う。
金属部品製造業界の会社,工作機械や産業機械およびポンプ部品などのFC鋳物、並びに低合金鋳鉄、FCD低合金鋳鉄の製造を行う。鋳物素材から機械加工、組み立てまで一貫して請け負う。
ゴルフ場業界の会社,ゴルフ場「久山カントリー倶楽部」およびテニス場の運営を行う。また、ゴルフ場にはショートコースやレストランなどが併設されている。その他、シューズやクラブのレンタルを手がける。
自動車部品・カー用品製造業界の会社,クランプやブラケットなどの自動車用部品の製造・販売を行う会社。単発プレス加工や順送プレス加工に対応。その他、プロジェクションナットやボルト、点溶接のスポット溶接加工も手掛ける。
タクシー業界の会社,愛媛県新居浜市を拠点に、タクシーの運行を手掛けている。観光タクシーや自転車ごとタクシーに乗車できるサイクルタクシー、代行運転などに対応。さらに、新居浜市をサービス対応エリアに訪問介護や夜間対応型訪問介護などの介護事業を実施する。
タクシー業界の会社,熊本県熊本市にてタクシーの運行を行っている。
ホテル・旅館業界の会社,白馬や軽井沢などのリゾート地でホテル「パイプのけむり」を運営している。素泊まりから朝食付きおよび二食付き、さらには飲み放題付きのプランまでを用意していることが特徴。
居酒屋・バー業界の会社,奈良県内で様々なジャンルの飲食店を経営している会社。居酒屋・イタリアン・焼き鳥・焼肉・お茶漬けなど多岐にわたる。月ごとに「旬活」と称してキャンペーンを行っており、旬の野菜や海産物を使った料理を提供している。
タクシー業界の会社,小型車や特定大型車を所有し、タクシーおよびハイヤーの運行を手掛ける。また、観光貸切に対応し、網走国定公園「原生花園コース」「全コース」や、女満別空港網走国定公園「能取岬コース」「知床コース」といったモデルコースを用意する。
高齢者向け福祉業界の会社,ケアマネジャーによるケアプラン作成などの居宅介護支援や、訪問介護サービスの提供を手掛ける。また、デイサービスセンター「べるふらっと」「鈴の音」などの通所介護施設や、小規模多機能ホーム「鈴の郷」の運営も行う。その他、移送介助の介護タクシーの運行や認知症予防教室の運営も請け負っている。
居酒屋・バー業界の会社,大阪府大阪市に拠点を置き、高級クラブやバーなどの飲食店を関西を中心に展開している。「ミュゼルヴァ」「シークレットガーデン」「美人茶屋」などの直営店の運営を行う。
ホテル・旅館業界の会社,静岡県沼津市にある「沼津リバーサイドホテル」の運営を行っている。富士山や駿河湾、狩野川を眺めることのできる客室を有していることが特徴。また、日本料理や西洋料理・ラウンジバー等の飲食施設、及び結婚式や会議・記念日の式典などに利用可能な宴会場を備えている。
高齢者向け福祉業界の会社,介護相談から、介護認定の申請や居宅サービス計画書の作成までサポートする「介護保険相談室あえる」の運営を行う会社。その他、訪問介護を中心に行う「ヘルパーステーションあえる」や、通所介護を行う「デイサービスあえる」の運営も請け負う。
警備業界の会社,奈良県や近隣府県を中心に工事現場や店舗などの警備を行っている。定期的に研修を行い、安全且つ安心に警備を行えるようにしている。他にも、警備前には事前にミーティングを行い、周辺の状況確認や工事などの進行具合の確認も随時実施する。
Webサービス・アプリ運営業界の会社,ネットオークションに係る業務をすべて代行するサービスを提供する会社である。また、出品作業をすべて代行するフリマサイト・アプリも運営。さらに、エリア内の不用品を買い取って、すべて88円で販売するリサイクルショップ「クイックドゥ88」を運営している。
タクシー業界の会社,東京23区を始め、武蔵野市や三鷹市などでタクシー営業を行っている。オレンジ色の車体が特徴で、流し営業や駅での付け待ちなどを主に行っており、早朝から深夜まで利用可能。また、中長距離の運行にも対応している。
ホテル・旅館業界の会社,「ホテル城ヶ倉」や「蔦温泉旅館」などの運営を行う。また、マグロ料理を提供する「日本料理城」や縄文れすとらん「五千年の星」の運営も手掛ける。その他には、カフェ「4匹の猫」や炉端焼き居酒屋「水里園」などの運営にも取り組む。
Webサービス・アプリ運営業界の会社,ノーコードで自由にWebサイトの作成や編集可能なツール「siteflow」を提供している。自社開発のシステムを利用したWebページ作成サービスである点が特徴。また、広告入札最適化ツールなどのWebサイト収益化に必要なものを搭載している「AutoStream」の提供も展開する。
自動車部品・カー用品製造業界の会社,自動車部品の板金加工やレーザー加工などの金属加工を手掛ける会社である。アルミ及びステンレス、鉄鋼などの素材に対応する。その他、溶接や塗装にも対応する。
居住用リフォーム業界の会社,シリコン樹脂やフッ素樹脂を使用した外壁および屋根塗装を手掛ける。外壁劣化診断士による診断やアドバイスを行っているのが特徴。また、外壁サイディングや屋根の葺き替えも請け負う。その他、アルミ製雪止めの設置やトイレ、キッチンなどの水廻りのリフォーム、介護リフォームなども行う。
居酒屋・バー業界の会社,鳥取県の酒蔵から直送した酒類を中心に提供する居酒屋「個室処 稲田屋はなれ」「四季と酒の蔵 稲田屋」などを運営する。また、鳥取県と岡山県の食材を使用した料理を提供する洋食居酒屋「ビストロカフェ ももてなし家」の運営に携わる。
マンション・アパート賃貸業界の会社,中古マンション住宅を専門に賃貸仲介と管理を行っている会社。その他に、不動産投資に関するセミナーを全国で開催している。
自動車部品・カー用品製造業界の会社,自動車用の防振ゴムやラバーホース、ゴムおよび樹脂成型品などを製造している。そのほか、防振ゴムの形状や特性などの実用研究、ホースの素材の開発なども請け負う。ダストカバーなどの製造に加え、一般産業向け製品についても手掛けている。
ホテル・旅館業界の会社,ホテルや飲食店、その他の観光施設を運営する会社。また、ゴルフ場やスキー場、その他スポーツ施設の運営も行なっている。相互物産株式会社のグループである相互物産グループの会社である。
居住用リフォーム業界の会社,LPガスの製造販売及び機器の施工と、住宅設備機器の販売ならびに住宅の内装や外装のリフォーム工事を手掛ける。また住宅用家電製品や太陽光発電の販売、および上下水道工事も請け負う。太陽光発電設備設置やオール電化工事も取り扱う。
高齢者向け福祉業界の会社,訪問介護事業所「シルバーネスト秋葉」、通所介護施設「デイサービス シルバーネスト」の運営を行う。加えて、「ケアプラン シルバーネスト」にて居宅介護支援を行っている。その他、「シルバーネスト塩屋」にて定期巡回随時対応型訪問介護を手掛ける。さらに、老人ホーム「集いの家みやまえ」も運営する。
